Time,Pitch (x),Yaw (y),Roll (z)
14.01,4.8884883,11.72458,5.831891
14.05,4.9064217,11.743328,5.863682
14.11,4.912148,11.762961,5.8685904
14.16,4.929227,11.766214,5.866964
14.21,4.938194,11.77192,5.882452
14.24,4.94958,11.775173,5.9133587
14.28,4.9479504,11.784953,5.907654
14.34,4.9536552,11.787398,5.9141736
14.39,4.947135,11.808589,5.9410696
14.44,4.9594207,11.809408,5.9451647
14.47,4.94964,11.821634,5.9614663
14.51,4.957748,11.835418,5.972007
14.58,4.9740477,11.849273,5.9728217
14.63,4.988717,11.856607,5.9817863
14.66,4.982197,11.864758,6.0119414
14.71,4.9927917,11.873722,6.029056
14.77,5.019723,11.875354,6.045378
14.81,5.039267,11.881054,6.040492
14.86,5.058002,11.881868,6.0632997
14.89,5.054742,11.9120245,6.06656
14.94,5.0881557,11.940549,6.091009
15,5.0946755,11.960923,6.1007886
15.05,5.1036363,11.966625,6.1154513
15.08,5.1215806,11.990279,6.1333957
15.13,5.13869,11.999241,6.150505
15.17,5.1598783,12.017984,6.152135
15.24,5.169658,12.025319,6.176585
15.28,5.176185,12.044085,6.204325
15.31,5.190854,12.048974,6.2255135
15.36,5.2128572,12.044899,6.2548513
15.41,5.221823,12.060386,6.276044
15.47,5.242174,12.066898,6.28337
15.5,5.2633667,12.090536,6.2939663
15.55,5.290262,12.092166,6.3070064
15.59,5.294337,12.09298,6.3159704
15.64,5.2927065,12.096241,6.348577
15.71,5.3106384,12.115803,6.3379807
15.74,5.3277493,12.119877,6.345314
15.78,5.337528,12.141065,6.3599825
15.83,5.3579054,12.137804,6.3795443
15.88,5.349756,12.155733,6.3787293
15.92,5.3603535,12.162254,6.4129677
15.97,5.363612,12.169587,6.4398537
16.01,5.367687,12.189148,6.443114
16.06,5.3823576,12.200558,6.455339
16.11,5.3905077,12.198928,6.4748993
16.16,5.410882,12.207078,6.4952736
16.21,5.4141436,12.195662,6.50669
16.25,5.4068127,12.191589,6.522166
16.3,5.4157777,12.208704,6.5343904
16.33,5.414963,12.21604,6.5498776
16.39,5.4157777,12.230707,6.5458035
16.44,5.4174175,12.229068,6.556461
16.49,5.4239273,12.239646,6.573549
16.53,5.4182463,12.249385,6.5840993
16.56,5.43536,12.2502,6.5946937
16.63,5.4321,12.246125,6.610179
16.67,5.429655,12.249385,6.6460347
16.72,5.43373,12.26161,6.66967
16.75,5.4451427,12.265686,6.681898
16.81,5.4541435,12.266504,6.705628
16.86,5.4598274,12.275436,6.736484
16.91,5.4622726,12.303146,6.757674
16.94,5.466348,12.308852,6.76501
16.99,5.4891653,12.317001,6.7927165
17.05,5.5005765,12.323522,6.816354
17.09,5.526639,12.340625,6.836715
17.14,5.547076,12.33572,6.85143
17.17,5.5446377,12.343036,6.883132
17.22,5.5658183,12.347109,6.9157176
17.28,5.571523,12.372375,6.9328327
17.33,5.5690756,12.389506,6.9548593
17.36,5.56826,12.378907,6.9638276
17.41,5.5861845,12.410683,6.98827
17.45,5.6138673,12.404169,7.011882
17.51,5.6195745,12.415584,7.002913
17.56,5.6212034,12.413955,7.001284
17.59,5.6220183,12.4327,7.015139
17.64,5.640763,12.449815,7.0461082
17.69,5.6448383,12.453075,7.0648556
17.75,5.66847,12.482411,7.0656705
17.78,5.683958,12.503606,7.0754523
17.83,5.7059608,12.525609,7.080342
17.88,5.722258,12.537832,7.1056027
17.92,5.7467465,12.566402,7.1153984
17.99,5.7801104,12.575354,7.1609683
18.01,5.7768507,12.576169,7.1731925
18.06,5.808639,12.594915,7.180528
18.11,5.8265867,12.621837,7.183791
18.16,5.827401,12.62835,7.200076
18.21,5.816804,12.636502,7.218825
18.25,5.8216925,12.647909,7.2554893
18.3,5.8436966,12.692733,7.2750487
18.34,5.851032,12.708219,7.3035755
18.41,5.8681464,12.719628,7.3296547
18.44,5.8795733,12.705752,7.3247576
18.49,5.904799,12.700056,7.3369637
18.53,5.9056144,12.7130995,7.3288116
18.58,5.9308743,12.700877,7.345923
18.61,5.9447293,12.717992,7.3679276
